creatureId	spell4Id	label
27402	2764	Firestorm Bomber
27402	55766	Firestorm Bomber
27403	2607	Firestorm Berserker
27403	55426	Firestorm Berserker
27403	2605	Firestorm Berserker
27449	6751	Barkblight Feeder
27449	55287	Barkblight Feeder
27449	6750	Barkblight Feeder
27449	55286	Barkblight Feeder
27451	33249	Barkblight Biter
27451	55722	Barkblight Biter
27451	55721	Barkblight Biter
27451	33250	Barkblight Biter
27452	56818	Barkblight Horror
27452	8093	Barkblight Horror
27452	8094	Barkblight Horror
27452	58263	Barkblight Horror
27452	70150	Barkblight Horror
27453	5532	Barkblight Queen
27453	55757	Barkblight Queen
27453	5536	Barkblight Queen
27575	35716	Firestorm Tank
27575	34981	Firestorm Tank
27575	39607	Firestorm Tank
27575	34967	Firestorm Tank
27575	35171	Firestorm Tank
27579	32867	Firestorm Guardian
27579	55434	Firestorm Guardian
27579	32868	Firestorm Guardian
27687	32727	Mysthoof Trampler
27687	32726	Mysthoof Trampler
27687	55296	Mysthoof Trampler
27876	55311	Mystwing Shredder
27876	28704	Mystwing Shredder
27876	28705	Mystwing Shredder
27878	55289	Mystpaw Thrasher
27878	372	Mystpaw Thrasher
27878	1616	Mystpaw Thrasher
27878	55290	Mystpaw Thrasher
28002	52235	Grove Guardian
28002	51993	Grove Guardian
28002	52080	Grove Guardian
28002	7267	Grove Guardian
28002	7270	Grove Guardian
28002	55305	Grove Guardian
28317	70406	Barkblight Egg
28318	34566	Thrasher Fern
28318	33013	Thrasher Fern
28318	33021	Thrasher Fern
28318	33022	Thrasher Fern
28320	52527	Firestorm Fuel
28623	32727	Mysthoof Doe
28623	32726	Mysthoof Doe
28623	55296	Mysthoof Doe
29125	42802	Stinging Defender
29870	56073	Bloodbloom Avenger
29873	56073	Bloodbloom Avenger
29919	55292	Mystpaw Dasher
29919	372	Mystpaw Dasher
29919	1616	Mystpaw Dasher
29976	28705	Mystwing Boomer
29976	55311	Mystwing Boomer
29976	28704	Mystwing Boomer
36173	55317	Elderoot Deathcap
36173	33247	Elderoot Deathcap
36173	33248	Elderoot Deathcap
36183	55434	Black Hoods Trainee
36197	35998	Eldan Security Beam
36198	35998	Eldan Security Beam
41995	55425	Everstar Defender
41997	55425	Everstar Defender
45474	5649	Ravenous Mordesh
45474	5652	Ravenous Mordesh
45474	55439	Ravenous Mordesh
45477	5649	Ravenous Mordesh
45477	5652	Ravenous Mordesh
45477	55439	Ravenous Mordesh
45503	5649	Ravenous Mordesh
45503	5652	Ravenous Mordesh
45503	55439	Ravenous Mordesh
45868	55305	Enraged Guardian
46096	55317	Elderoot Deathcap
46096	33247	Elderoot Deathcap
46096	33248	Elderoot Deathcap
46252	42802	Stinging Attacker
46387	45194	Agitated Fungal Growth
46394	45168	Enraged Grove Guardian
46394	73094	Enraged Grove Guardian
46394	55305	Enraged Grove Guardian
46394	7270	Enraged Grove Guardian
46394	7267	Enraged Grove Guardian
46431	45211	Everstar Bee Swarm
46487	55433	Personal Guard
46606	55305	Enraged Guardian
47777	55305	Enraged Guardian
52367	54518	Elderoot Tendril
27481	2764	Firestorm Sentry
27481	55766	Firestorm Sentry
51111	2764	Firestorm Sentry
51111	55766	Firestorm Sentry
28086	50182	Firestorm Drilldozer
70449	309	Abominus
70449	4089	Abominus
70449	903	Abominus
71442	183	Darksister Zura
71442	186	Darksister Zura
71442	189	Darksister Zura
70448	186	Darkwitch Kulgha
70448	187	Darkwitch Kulgha
70446	8353	Frostgale
70446	3844	Frostgale
72174	385	Frosthound
72174	4089	Frosthound
70454	4089	Ghost
70454	2087	Ghost
70454	385	Ghost
72245	189	Glasha the Bladewitch
72245	186	Glasha the Bladewitch
72245	2776	Glasha the Bladewitch
72245	10250	Glasha the Bladewitch
72241	53034	Haknoth the Houndmaster
72241	2095	Haknoth the Houndmaster
72241	903	Haknoth the Houndmaster
72244	2095	Jregh the Burned
72244	28141	Jregh the Burned
72244	186	Jregh the Burned
70447	2095	Kundar ven Offen
70447	10250	Kundar ven Offen
70447	2776	Kundar ven Offen
70447	3947	Kundar ven Offen
70444	645	Matuk the Scorned
70444	946	Matuk the Scorned
70444	27281	Matuk the Scorned
70455	2174	Rimetusk
70455	2139	Rimetusk
72243	946	Rogan the Rash
72243	2139	Rogan the Rash
72446	2583	Sarod the Soulstealer
72446	187	Sarod the Soulstealer
72446	2818	Sarod the Soulstealer
14393	4815	Scrapclaw
72333	385	Shivermane
72333	2087	Shivermane
72333	903	Shivermane
70648	4089	Snowflake
70648	385	Snowflake
70648	461	Snowflake
72175	385	Vicious Frosthound
72175	2087	Vicious Frosthound
72175	4089	Vicious Frosthound
154	55119	darkspur raider
154	47669	darkspur raider
154	65795	darkspur raider
154	48920	darkspur raider
2409	53275	shoveljaw boulderback
2409	21878	shoveljaw boulderback
2409	31135	shoveljaw boulderback
2409	53274	shoveljaw boulderback
2409	21569	shoveljaw boulderback
2409	53268	shoveljaw boulderback
2995	27783	invisible unit
2995	40535	invisible unit
4148	32735	grimstone digger
4148	32379	grimstone digger
4148	34262	grimstone digger
6386	28500	big fire
7040	30096	longhorn bull
7040	24211	longhorn bull
7040	53423	longhorn bull
7040	40693	longhorn bull
7040	30510	longhorn bull
7557	44263	hycrest guard
7557	44262	hycrest guard
8524	34361	chompacabra
8524	34146	chompacabra
8524	34264	chompacabra
8524	34266	chompacabra
8999	53377	exile soldier
8999	65795	exile soldier
8999	55763	exile soldier
8999	53371	exile soldier
8999	53383	exile soldier
8999	55434	exile soldier
