id	classId	raceId	sex	factionId	startEnum	items
21	1	1	1	167	0	81344,81359,81345,8534,81346,81380,81381
72	1	1	0	167	0	81344,81359,81345,8534,81346,81380,81381
125	1	1	1	166	0	81366,81365,81367,8535,81352,81389,81390
126	2	1	0	167	0	81344,81359,81345,8534,81347,81380,81381
127	3	1	0	167	0	81363,81362,81364,8534,81351,81375,81376
128	4	1	0	167	0	81360,81358,81361,8534,81348,81374,81378
129	5	1	0	167	0	81360,81358,81361,8534,81349,81374,81378
130	7	1	0	167	0	81363,81362,81364,8534,81350,81375,81376
136	3	1	1	167	0	81363,81362,81364,8534,81351,81375,81376
137	7	1	1	167	0	81363,81362,81364,8534,81350,81375,81376
138	2	1	1	167	0	81344,81359,81345,8534,81347,81380,81381
140	5	1	1	167	0	81360,81358,81361,8534,81349,81374,81378
144	3	4	0	167	0	81363,81362,81364,8534,81351,81375,81376
145	7	4	0	167	0	81363,81362,81364,8534,81350,81375,81376
150	3	4	1	167	0	81363,81362,81364,8534,81351,81375,81376
151	7	4	1	167	0	81363,81362,81364,8534,81350,81375,81376
155	2	3	0	167	0	81344,81359,81345,8534,81347,81380,81381
171	2	1	0	166	0	81366,81365,81367,8535,81353,81389,81390
174	5	1	0	166	0	81369,81368,81370,8535,81355,81383,81387
182	7	1	1	166	0	81372,81371,81373,8535,81356,81384,81385
183	2	1	1	166	0	81366,81365,81367,8535,81353,81389,81390
185	5	1	1	166	0	81369,81368,81370,8535,81355,81383,81387
191	5	5	0	166	0	81369,81368,81370,8535,81355,81383,81387
192	1	5	1	166	0	81366,81365,81367,8535,81352,81389,81390
195	7	5	1	166	0	81372,81371,81373,8535,81356,81384,81385
196	5	5	1	166	0	81369,81368,81370,8535,81355,81383,81387
198	3	13	0	166	0	81372,81371,81373,8535,81357,81384,81385
207	1	12	0	166	0	81366,81365,81367,8535,81352,81389,81390
208	4	12	0	166	0	81369,81368,81370,8535,81354,81383,81387
220	1	3	0	167	0	81344,81359,81345,8534,81346,81380,81381
234	4	1	0	166	0	81369,81368,81370,8535,81354,81383,81387
235	3	1	0	166	0	81372,81371,81373,8535,81357,81384,81385
238	7	1	0	166	0	81372,81371,81373,8535,81356,81384,81385
239	1	1	0	166	0	81366,81365,81367,8535,81352,81389,81390
240	4	3	0	167	0	81360,81358,81361,8534,81348,81374,81378
242	3	1	1	166	0	81372,81371,81373,8535,81357,81384,81385
263	5	4	1	167	0	81360,81358,81361,8534,81349,81374,81378
264	5	4	0	167	0	81360,81358,81361,8534,81349,81374,81378
265	5	12	0	166	0	81369,81368,81370,8535,81355,81383,81387
266	1	16	0	167	0	81344,81359,81345,8534,81346,81380,81381
267	1	16	1	167	0	81344,81359,81345,8534,81346,81380,81381
268	2	16	1	167	0	81344,81359,81345,8534,81347,81380,81381
269	2	16	0	167	0	81344,81359,81345,8534,81347,81380,81381
270	5	16	0	167	0	81360,81358,81361,8534,81349,81374,81378
271	5	16	1	167	0	81360,81358,81361,8534,81349,81374,81378
272	7	16	0	167	0	81363,81362,81364,8534,81350,81375,81376
273	7	16	1	167	0	81363,81362,81364,8534,81350,81375,81376
274	5	12	1	166	0	81369,81368,81370,8535,81355,81383,81387
275	7	13	0	166	0	81372,81371,81373,8535,81356,81384,81385
276	7	4	0	167	1	28778,28779,28780,28786,28380,28781,28782,12049,12049,12049,28783,28784,28785
277	3	1	1	167	1	28787,28788,28789,28795,28790,28791,12049,12049,12049,28792,28793,28794,28380
278	1	3	0	167	1	28720,28721,28722,28728,28381,28724,28723,12049,12049,12049,28725,28726,28727
279	5	16	0	167	1	28729,28730,28732,28777,28381,28733,28734,12049,12049,12049,28735,28736,28776
280	1	5	0	166	1	28796,28797,28798,28804,28381,28800,28799,12049,12049,12049,28801,28802,28803
281	5	12	1	166	1	28805,28806,28807,28813,28809,28808,12049,12049,12049,28810,28811,28812,28381
282	3	1	0	166	1	28823,28824,28825,28831,28380,28827,28826,12049,12049,12049,28828,28829,28830
283	7	13	0	166	1	28814,28815,28816,28822,28817,28818,12049,12049,12049,28819,28820,28821,28380
284	5	4	1	167	2	28832,28833,28834,28840,28835,28836,28837,28838,28839,12049,12049,12049,17545
285	3	1	1	167	2	28868,28869,28870,28876,28871,28872,28873,28874,28875,12049,12049,12049,17545
286	1	3	0	167	2	28850,28851,28852,28858,17545,28853,28854,28855,28856,28857,12049,12049,12049
287	7	1	0	167	2	28841,28842,28843,28849,28844,28845,28846,28847,28848,12049,12049,12049,17545
288	5	16	0	167	2	28859,28860,28861,28867,17545,28863,28862,28864,28865,28866,12049,12049,12049
289	7	5	0	166	0	81372,81371,81373,8535,81356,81384,81385
290	1	5	0	166	0	81366,81365,81367,8535,81352,81389,81390
291	4	16	0	167	0	81360,81358,81361,8534,81348,81374,81378
292	4	16	1	167	0	81360,81358,81361,8534,81348,81374,81378
293	1	12	1	166	0	81366,81365,81367,8535,81352,81389,81390
294	4	12	1	166	0	81369,81368,81370,8535,81354,81383,81387
295	2	12	0	166	0	81366,81365,81367,8535,81353,81389,81390
296	2	12	1	166	0	81366,81365,81367,8535,81353,81389,81390
297	4	1	1	167	0	81360,81358,81361,8534,81348,81374,81378
298	4	1	1	166	0	81369,81368,81370,8535,81354,81383,81387
299	2	13	0	166	0	81366,81365,81367,8535,81353,81389,81390
300	1	3	1	167	0	81344,81359,81345,8534,81346,81380,81381
301	4	3	1	167	0	81360,81358,81361,8534,81348,81374,81378
302	2	3	1	167	0	81344,81359,81345,8534,81347,81380,81381
303	4	13	0	166	0	81369,81368,81370,8535,81354,81383,81387
316	3	13	0	166	1	6679,6683,6688
317	2	1	1	166	1	7395,7396,13238
318	7	13	0	166	1	6283,6285,6286
319	4	12	0	166	1	1229,1367,1414
320	5	5	1	166	1	1504,1506,1507
321	1	12	1	166	1	7383,7384,7394
338	1	1	1	167	3	81344,81359,81345,8534,81346,81380,81381,80875
339	1	1	0	167	3	81344,81359,81345,8534,81346,81380,81381,80875
340	2	1	0	167	3	81344,81359,81345,8534,81347,81380,81381,80875
341	3	1	0	167	3	81363,81362,81364,8534,81351,81375,81376,80875
342	4	1	0	167	3	81360,81358,81361,8534,81348,81374,81378,80875
343	5	1	0	167	3	81360,81358,81361,8534,81349,81374,81378,80875
344	7	1	0	167	3	81363,81362,81364,8534,81350,81375,81376,80875
345	3	1	1	167	3	81363,81362,81364,8534,81351,81375,81376,80875
346	7	1	1	167	3	81363,81362,81364,8534,81350,81375,81376,80875
347	2	1	1	167	3	81344,81359,81345,8534,81347,81380,81381,80875
348	5	1	1	167	3	81360,81358,81361,8534,81349,81374,81378,80875
349	4	1	1	167	3	81360,81358,81361,8534,81348,81374,81378,80875
350	1	1	1	166	3	81366,81365,81367,8535,81352,81389,81390,80875
351	2	1	0	166	3	81366,81365,81367,8535,81353,81389,81390,80875
352	5	1	0	166	3	81369,81368,81370,8535,81355,81383,81387,80875
353	7	1	1	166	3	81372,81371,81373,8535,81356,81384,81385,80875
354	2	1	1	166	3	81366,81365,81367,8535,81353,81389,81390,80875
355	5	1	1	166	3	81369,81368,81370,8535,81355,81383,81387,80875
356	4	1	0	166	3	81369,81368,81370,8535,81354,81383,81387,80875
357	3	1	0	166	3	81372,81371,81373,8535,81357,81384,81385,80875
358	7	1	0	166	3	81372,81371,81373,8535,81356,81384,81385,80875
359	1	1	0	166	3	81366,81365,81367,8535,81352,81389,81390,80875
360	3	1	1	166	3	81372,81371,81373,8535,81357,81384,81385,80875
361	4	1	1	166	3	81369,81368,81370,8535,81354,81383,81387,80875
362	1	12	0	166	3	81366,81365,81367,8535,81352,81389,81390,80875
363	4	12	0	166	3	81369,81368,81370,8535,81354,81383,81387,80875
364	5	12	0	166	3	81369,81368,81370,8535,81355,81383,81387,80875
365	5	12	1	166	3	81369,81368,81370,8535,81355,81383,81387,80875
366	1	12	1	166	3	81366,81365,81367,8535,81352,81389,81390,80875
367	4	12	1	166	3	81369,81368,81370,8535,81354,81383,81387,80875
368	2	12	0	166	3	81366,81365,81367,8535,81353,81389,81390,80875
369	2	12	1	166	3	81366,81365,81367,8535,81353,81389,81390,80875
370	3	13	0	166	3	81372,81371,81373,8535,81357,81384,81385,80875
371	7	13	0	166	3	81372,81371,81373,8535,81356,81384,81385,80875
372	2	13	0	166	3	81366,81365,81367,8535,81353,81389,81390,80875
373	4	13	0	166	3	81369,81368,81370,8535,81354,81383,81387,80875
374	5	5	0	166	3	81369,81368,81370,8535,81355,81383,81387,80875
375	1	5	1	166	3	81366,81365,81367,8535,81352,81389,81390,80875
376	7	5	1	166	3	81372,81371,81373,8535,81356,81384,81385,80875
377	5	5	1	166	3	81369,81368,81370,8535,81355,81383,81387,80875
378	7	5	0	166	3	81372,81371,81373,8535,81356,81384,81385,80875
379	1	5	0	166	3	81366,81365,81367,8535,81352,81389,81390,80875
380	3	4	0	167	3	81363,81362,81364,8534,81351,81375,81376,80875
381	7	4	0	167	3	81363,81362,81364,8534,81350,81375,81376,80875
382	3	4	1	167	3	81363,81362,81364,8534,81351,81375,81376,80875
383	7	4	1	167	3	81363,81362,81364,8534,81350,81375,81376,80875
384	5	4	1	167	3	81360,81358,81361,8534,81349,81374,81378,80875
385	5	4	0	167	3	81360,81358,81361,8534,81349,81374,81378,80875
386	2	3	0	167	3	81344,81359,81345,8534,81347,81380,81381,80875
387	1	3	0	167	3	81344,81359,81345,8534,81346,81380,81381,80875
388	4	3	0	167	3	81360,81358,81361,8534,81348,81374,81378,80875
389	1	3	1	167	3	81344,81359,81345,8534,81346,81380,81381,80875
390	4	3	1	167	3	81360,81358,81361,8534,81348,81374,81378,80875
391	2	3	1	167	3	81344,81359,81345,8534,81347,81380,81381,80875
