raceId	gender	itemSlotId	itemDisplayId	label00	value00	label01	value01
1	0	24	5	2	1	0	0
1	0	25	135	22	1	2	1
0	0	1	175	0	0	0	0
0	0	2	177	0	0	0	0
0	0	4	178	0	0	0	0
0	0	5	174	0	0	0	0
0	0	6	176	0	0	0	0
0	0	3	173	0	0	0	0
1	0	25	136	22	2	2	1
1	0	25	137	21	2	2	1
1	0	25	138	22	3	2	1
1	0	25	139	22	4	2	1
1	0	25	140	22	5	2	1
1	0	25	141	22	6	2	1
1	0	25	142	21	6	2	1
1	0	28	4	24	14	4	1
1	0	39	206	20	7	4	1
1	0	28	226	24	14	4	2
1	0	28	186	24	14	4	7
1	0	24	25	2	2	0	0
1	0	24	187	2	3	0	0
1	0	25	190	22	1	2	2
1	0	25	189	22	1	2	3
1	0	25	192	22	2	2	2
1	0	25	193	22	2	2	3
1	0	25	194	21	2	2	2
1	0	25	201	21	2	2	3
1	0	25	188	22	3	2	2
1	0	25	199	22	3	2	3
1	0	25	202	22	4	2	2
1	0	25	197	22	4	2	3
1	0	25	196	22	5	2	2
1	0	25	191	22	5	2	3
1	0	25	198	22	6	2	2
1	0	25	203	22	6	2	3
1	0	25	200	21	6	2	2
1	0	25	195	21	6	2	3
1	0	39	116	20	7	4	2
1	0	39	207	20	7	4	7
1	0	39	0	20	1	4	1
1	0	39	0	20	1	4	2
1	0	39	0	20	1	4	7
1	0	26	6	0	0	7	1
1	0	26	205	0	0	7	2
1	0	26	204	0	0	7	3
1	0	28	24	24	2	4	1
1	0	28	208	23	2	4	1
1	0	28	209	24	3	4	1
1	0	28	210	24	4	4	1
1	0	28	211	24	5	4	1
0	0	28	212	24	6	4	1
1	0	28	213	24	6	4	1
1	0	28	214	24	8	4	1
1	0	28	215	24	9	4	1
1	0	28	228	24	2	4	2
1	0	28	231	23	2	4	2
1	0	28	232	24	3	4	2
1	0	28	233	24	4	4	2
1	0	28	234	24	5	4	2
0	0	28	185	3	7	4	2
1	0	28	288	24	6	4	2
1	0	28	289	24	8	4	2
1	0	28	290	24	9	4	2
1	0	28	227	24	2	4	7
1	0	28	230	23	2	4	7
1	0	28	235	24	3	4	7
1	0	28	236	24	4	4	7
1	0	28	237	24	5	4	7
0	0	28	291	3	7	4	7
1	0	28	292	24	6	4	7
1	0	28	293	24	8	4	7
1	0	28	294	24	9	4	7
1	0	28	708	24	13	4	1
1	0	28	218	23	7	4	1
1	0	28	709	23	11	4	1
1	0	28	220	24	12	4	1
1	0	28	743	24	10	4	2
1	0	28	744	23	7	4	2
1	0	28	745	23	8	4	2
1	0	28	746	24	12	4	2
0	0	28	217	3	11	4	2
0	0	28	218	3	12	4	2
0	0	28	219	3	13	4	2
0	0	28	220	3	14	4	2
0	0	29	222	0	1	0	0
0	0	29	223	0	2	0	0
0	0	29	224	0	3	0	0
0	0	29	225	0	0	0	0
0	0	28	238	3	1	4	8
0	0	28	239	3	2	4	8
0	0	28	240	3	3	4	8
0	0	28	285	3	4	4	8
0	0	28	242	3	5	4	8
0	0	28	287	3	6	4	8
1	0	28	244	24	14	4	5
1	0	28	245	24	2	4	5
1	0	28	246	23	2	4	5
1	0	28	247	24	3	4	5
1	0	28	248	24	4	4	5
1	0	28	249	24	5	4	5
1	0	28	250	24	14	4	6
1	0	28	251	24	2	4	6
1	0	28	252	23	2	4	6
1	0	28	253	24	3	4	6
1	0	28	254	24	4	4	6
1	0	28	255	24	5	4	6
1	0	28	256	24	14	4	3
1	0	28	257	24	2	4	3
1	0	28	258	23	2	4	3
1	0	28	259	24	3	4	3
1	0	28	260	24	4	4	3
1	0	28	261	24	5	4	3
1	0	28	262	24	14	4	4
1	0	28	263	24	2	4	4
1	0	28	264	23	2	4	4
1	0	28	265	24	3	4	4
1	0	28	266	24	4	4	4
0	0	28	284	3	7	4	8
0	0	28	241	3	8	4	8
1	0	39	297	20	5	4	1
1	0	39	296	20	5	4	2
1	0	39	295	20	5	4	7
1	1	24	305	2	1	0	0
1	1	24	1425	2	2	0	0
3	0	24	19	2	1	0	0
3	1	24	309	2	4	0	1
1	0	28	439	24	1	0	0
1	0	28	1755	24	15	4	7
1	0	28	1755	23	15	4	7
0	0	28	1757	3	34	4	7
3	0	25	524	1	1	2	1
3	0	25	525	1	2	2	1
3	0	24	4944	2	9	0	0
3	0	26	20	0	0	7	1
1	1	28	531	24	1	4	2
1	1	28	532	24	2	4	2
1	1	28	533	23	2	4	2
1	1	28	534	24	3	4	2
1	1	28	535	24	4	4	2
1	1	28	536	24	5	4	2
1	1	28	537	24	6	4	2
1	1	28	538	23	4	4	2
1	1	28	539	23	5	4	2
1	1	28	540	24	7	4	2
1	1	28	541	23	6	4	2
1	1	28	542	23	7	4	2
1	1	28	543	24	8	4	2
3	0	25	549	1	3	2	1
3	0	25	550	1	4	2	1
3	0	25	551	1	5	2	1
3	0	25	552	1	6	2	1
3	0	25	553	1	7	2	1
3	0	25	554	1	8	2	1
3	0	25	555	1	9	2	1
13	0	25	563	1	1	18	1
13	0	25	564	1	2	18	1
13	0	25	565	1	3	18	1
13	0	25	566	1	4	18	1
13	0	25	568	1	6	18	1
13	0	25	569	1	7	18	1
13	0	25	571	1	9	18	1
13	0	24	320	18	1	0	0
13	0	26	318	7	1	0	0
4	0	24	307	2	1	0	0
4	0	28	314	3	1	4	1
4	0	26	1634	7	1	1	1
12	1	24	562	2	1	0	0
13	0	27	2193	10	1	0	0
4	1	24	315	2	1	0	0
4	1	28	5715	3	1	4	1
4	1	26	316	7	1	1	1
1	1	26	313	0	0	7	2
12	1	25	636	1	1	2	1
12	0	24	637	2	1	0	0
12	0	25	638	1	1	2	1
0	0	26	639	0	0	7	1
4	1	25	640	1	1	2	1
4	0	25	641	1	1	2	1
1	0	28	217	24	10	4	1
1	0	28	219	23	8	4	1
1	0	28	706	23	10	4	1
1	0	28	710	23	13	4	1
0	0	28	272	3	7	4	6
1	0	28	273	24	6	4	6
1	0	28	274	24	8	4	6
1	0	28	275	24	9	4	6
1	0	28	711	24	10	4	6
1	0	28	712	24	12	4	6
0	0	28	268	3	7	4	5
1	0	28	269	24	6	4	5
1	0	28	270	24	8	4	5
1	0	28	271	24	9	4	5
1	0	28	714	24	10	4	5
1	0	28	713	23	13	4	6
