file	project	class	lines	recoveredCounterpart
NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Configuration.Model\AccountCreationOptions.cs	NexusUnleashed.Aspire.Database.Migrations	C-LINEAGE	7	NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Configuration.Model\AccountCreationOptions.cs
NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Configuration.Model\WorldDatabaseOptions.cs	NexusUnleashed.Aspire.Database.Migrations	C-LINEAGE	5	NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Configuration.Model\WorldDatabaseOptions.cs
NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\AccountCreationHostedService.cs	NexusUnleashed.Aspire.Database.Migrations	C-LINEAGE	89	NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\AccountCreationHostedService.cs
NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\DatabaseMigrationHostedService.cs	NexusUnleashed.Aspire.Database.Migrations	C-LINEAGE	46	NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\DatabaseMigrationHostedService.cs
NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\FinishHostedService.cs	NexusUnleashed.Aspire.Database.Migrations	C-LINEAGE	21	NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\FinishHostedService.cs
NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\WorldDatabaseHostedService.cs	NexusUnleashed.Aspire.Database.Migrations	C-MODIFIED	202	NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations.Service\WorldDatabaseHostedService.cs
NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations\Program.cs	NexusUnleashed.Aspire.Database.Migrations	C-LINEAGE	83	NexusUnleashed.Aspire.Database.Migrations\NexusUnleashed.Aspire.Database.Migrations\Program.cs
NexusUnleashed.Aspire.Database.Migrations\Properties\AssemblyInfo.cs	NexusUnleashed.Aspire.Database.Migrations	C-LINEAGE	11	NexusUnleashed.Aspire.Database.Migrations\Properties\AssemblyInfo.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Costume\IAccountCostumeManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	11	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Costume\IAccountCostumeManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Costume\ICostumeUnlock.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	7	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Costume\ICostumeUnlock.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Currency\IAccountCurrency.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	15	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Currency\IAccountCurrency.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Currency\IAccountCurrencyManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	13	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Currency\IAccountCurrencyManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Entitlement\IAccountEntitlement.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	8	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Entitlement\IAccountEntitlement.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Entitlement\IAccountEntitlementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	8	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Entitlement\IAccountEntitlementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Option\IAccountKeybindingManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	8	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Option\IAccountKeybindingManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Reward\IRewardProperty.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	12	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Reward\IRewardProperty.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Reward\IRewardPropertyManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	13	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Reward\IRewardPropertyManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Unlock\IGenericUnlock.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	9	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Unlock\IGenericUnlock.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Unlock\IGenericUnlockManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	17	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account.Unlock\IGenericUnlockManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account\IAccount.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	31	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Account\IAccount.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IAchievement.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	14	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IAchievement.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IAchievementInfo.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	10	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IAchievementInfo.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IBaseAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	15	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IBaseAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\ICharacterAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	6	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\ICharacterAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGlobalAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	10	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGlobalAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGuildAchievementManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	6	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Achievement\IGuildAchievementManager.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.CSI\IClientSideInteraction.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	17	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.CSI\IClientSideInteraction.cs
NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Challenges\IChallengeManager.cs	NexusUnleashed.Game.Abstract	C-LINEAGE	13	NexusUnleashed.Game.Abstract\NexusUnleashed.Game.Abstract.Challenges\IChallengeManager.cs
